7622,学会出版センター
7623,学献社
7624,学建書院
7625,学校図書
7626,厳南堂書店
7628,北大路書房
7629,汲古書院
7630,求龍堂
7631,サンマーク出版
7632,教育出版センター
7634,花伝社
7635,協楽社
7636,京都書院
7637,京都書房
7638,京都新聞社
7639,協同医書出版社
7641,共同通信社
7642,教文館
7643,共文社
7644,杏林書院
7645,技術と人間
7646,錦正社
7647,金星堂
7648,近代映画社
7649,近代科学社
7650,近代セールス社
7651,近代図書
7652,恒友出版
7653,金芳堂
7654,技術書院
7655,技報堂出版
7657,銀行研修社
7658,国元書房
7659,久保書店
7660,暮しの手帖社
7661,グラフィック社
7662,グラフ社
7663,グリーンアロー出版社
7664,慶應義塾大学出版会
7666,経済往来社
7667,経済界
7668,経済法令研究会
7669,勁文社
7670,敬文堂
7671,啓明書房
7672,啓佑社
7673,経林書房
7674,研究社
7676,建設物価調査会
7677,建築技術
7678,建築知識
7679,建帛社
7680,研文書院
7681,芸林書房
7683,玄光社
7684,現代書館
7687,現代数学社
7689,現代理工学出版
7690,好学社
7691,工学出版
7692,工学図書
7693,工業調査会
7694,光芸出版
7696,こう書房
7698,光人社
7699,恒星社厚生閣
7700,Kodansha International
7702,高分子刊行会
7703,弘文社
7704,恒文社
7705,径書房
7706,光文書院
7707,高文堂出版社
7709,虹有社
7710,晃洋書房
7711,高陵社書店
7712,光琳
7713,光琳社出版
7714,公論社
7715,声の教育社
7718,国際地学協会
7719,克誠堂出版
7720,国文社
7721,こぐま社
7722,古今書院
7724,金剛出版
7726,合同出版
7727,五月書房
7728,ゴルフダイジェスト社
7729,啓文社
7730,笠倉出版社
7732,ケイエムピー
7733,近代文芸社
7734,垣内出版
7735,仮説社
7736,凱風社
7737,健友館
7738,現代企画室
7739,源流社
7740,かまくら春秋社
7741,技術評論社
7743,くもん出版
7744,皓星社
7819,サイエンス社
7820,菜根出版
7821,幸書房
7822,酒井書店
7823,嵯峨野書院
7824,相模書房
7825,産学社
7826,三月書房
7827,三共出版
7828,産業図書
7829,三恵書房
7830,三晃書房
7833,三和書房
7835,新思索社
7836,思想の科学社
7837,思潮社
7838,静岡新聞社
7839,信濃教育界出版部
7840,信濃毎日新聞社
7841,篠崎書林
7842,思文閣出版
7843,至文堂
7845,社会評論社
7846,社会保険出版社
7848,週刊住宅新聞社
7849,日本醫事新報社
7850,集文館
7851,集文社
7852,出版ニュース社
7853,裳華房
7854,尚学図書
7855,商業界
7856,昭晃堂
7857,商事法務研究会
7858,商店建築社
7859,少年画報社
7862,昭和女子大学近代文化研究所
7863,職業訓練教材研究会
7864,書芸文化新社
7866,白石書店
7867,白川書院新社
7868,新学社
7869,新建築社
7872,青弓社
7873,千書房
7874,ゆうエージェンシー
7875,新樹社
7876,創樹社美術出版
7877,新泉社
7878,診断と治療社
7879,新典社
7880,新読書社
7882,新日本法規出版
7883,審美社
7885,新曜社
7886,JAF出版社
7887,時事通信社
7888,時潮社
7889,実務教育出版
7890,ジャパンタイムズ
7891,蒼樹書房
7892,住宅新報社
7894,社会保険研究所
7895,女子栄養大学出版部
7896,女子パウロ会
7897,ソニー・マガジンズ
7898,CQ出版
7899,スキージャーナル
7900,杉山書店
7901,松文館
7902,すずき出版
7904,砂子屋書房
7905,青蛙房
7906,青娥書房
7907,世界思想社
7908,清雅堂
7909,正高社
7911,星和書店
7912,聖書図書刊行会
7913,青樹社
7914,精道教育促進協会
7915,セイドー外国語研究所
7916,西東社
7917,青土社
7918,青年書館
7919,成美堂
7920,清文社
7922,聖文社
7923,成文堂
7924,清文堂出版
7925,西北出版
7926,青林堂
7927,世界書院
7928,雪華社
7930,泉文堂
7931,税務研究会
7932,全教図
7933,全国学校図書館協議会
7937,全日本社会教育連合会
7938,全貌社
7939,善本社
7940,綜芸舎
7941,総合労働研究所
7942,草思社
7943,創樹社
7944,創成社
7945,草土文化
7947,叢文社
7948,新評論
7949,晶文社
7952,星雲社
7953,至誠堂
7954,すずさわ書店
7955,総合研究開発機構
7957,昭和図書
7958,情報センター出版局
7959,人文社
7960,清文社
7961,駿台文庫
7962,スコラ
7963,山喜房佛書林
7965,照林社
7966,宝島社
7967,せりか書房
7969,駸々堂出版
7971,続群書類従完成会
7972,信山社出版
7973,ソフトバンク
7974,新風舎
8027,泰光堂
8028,大成出版社
8029,泰文館
8030,泰文堂
8031,太平出版社
8034,鷹書房弓プレス
8035,竹内書店新社
8037,立花書房
8038,田畑書店
8039,短歌新聞社
8040,第一学習社
8041,第一出版
8042,第一書房
8043,大蔵出版
8045,TDKコア
8046,大法輪閣
8047,大和出版
8048,ダヴィッド社
8049,地球社
8050,チクマ秀版社
8051,千倉書房
8052,地人書館
8053,C.E.Tuttle
8054,チャイルド本社
8055,中央公論美術出版
8056,サンパウロ
8057,中央大学出版部
8058,中央法規出版
8059,中央労働災害防止協会
8060,沖積舎
8061,中経出版
8062,中日新聞本社
8063,潮文社
8064,東京経済
8065,通商産業調査会
8066,津軽書房
8067,築地書館
8068,拓植書房新社
8069,土屋書店
8071,帝国書院
8072,舵社
8073,天理教道友社
8076,電気通信振興会
